strategy,sector,sector_criteria,direction_mix,total_trades,win_rate,win_rate_ci_low,win_rate_ci_high,statistically_random,profit_factor,expected_value,win_loss_ratio,avg_win_pct,avg_loss_pct,max_drawdown_pct,total_roi_pct,sharpe_ratio,sharpe_daily,sortino_ratio,deflated_sharpe,psr,psr_note,tiered_min_trades,meets_tiered_min,pct_trades_near_event,pct_trades_near_fomc,pct_trades_near_cpi,pct_trades_near_nfp,win_rate_near_event,win_rate_far_from_event,win_rate_event_delta,event_wr_note,adf_statistic,adf_p_value,is_stationary,adf_note,chow_f_statistic,chow_p_value,has_structural_break,chow_note,sharpe_at_0bps,sharpe_at_5bps,sharpe_at_10bps,sharpe_at_20bps,avg_aep_pct,n_aep_eligible,poor_exit_timing,aep_note,calmar_ratio,kelly,avg_hold_days,best_trade_pct,worst_trade_pct,smart_money_lift,macro_correlation,regimes_profitable,regime_verdicts,best_regimes,passes_all,audit_flags,category,regime_bear_correction_2022,regime_rate_rising_2022_2023,regime_strong_bull_2023,regime_rate_falling_2024,regime_ai_sector_bull_2024,regime_tariff_shock_2025,regime_ai_divergence_2025_2026,regime_covid_crisis_2020,spy_benchmark_return,vs_benchmark,beats_benchmark
cmf_flip,Information Technology,high_volatility,13L/0S,13,0.1538,0.0433,0.4224,True,0.1884,-4.7616,1.0365,7.1869,-6.934,-46.9254,-61.9006,-2.114,-4.23,-3.947,,,insufficient_sample,300,False,84.62,46.15,7.69,30.77,0.1818,0.0,0.1818,small_subgroup,,,,insufficient_sample,,,,insufficient_sample,-2.114,-2.136,-2.159,-2.203,0.6948,2,True,ok,-0.797,"{'full_kelly_pct': -66.25, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",32.1,10.8207,-10.6264,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_4.3pct_may_be_random'],mean_reversion,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,
macd_fast_crossover,Consumer Discretionary,medium_volatility,3L/1S,4,0.0,0.0,0.4899,True,0.0,-7.8314,0.0,0.0,-7.8314,-24.1889,-31.3255,-4.667,-5.909,-4.667,,,insufficient_sample,300,False,50.0,25.0,25.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,-4.667,-4.697,-4.726,-4.786,,0,False,no_winning_trades_with_mfe,-1.657,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",49.2,-4.1615,-11.8377,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_0.0pct_may_be_random'],momentum,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,
supertrend_macd,Materials,medium_volatility,4L/0S,4,0.0,0.0,0.4899,True,0.0,-7.6706,0.0,0.0,-7.6706,-19.1383,-30.6824,-7.294,-8.96,-7.294,,,insufficient_sample,300,False,50.0,25.0,0.0,25.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,-7.294,-7.342,-7.389,-7.484,,0,False,no_winning_trades_with_mfe,-3.513,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",28.8,-4.5364,-10.4114,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_0.0pct_may_be_random'],trend,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,
hull_rsi,Health Care,high_volatility,1L/2S,3,0.0,0.0,0.5615,True,0.0,-6.7357,0.0,0.0,-6.7357,-12.4086,-20.2072,-1.32,-7.58,-1.32,,,insufficient_sample,300,False,33.33,0.0,0.0,33.33,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,-1.32,-1.329,-1.339,-1.359,,0,False,no_winning_trades_with_mfe,-0.443,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",308.7,-1.233,-11.3151,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_0.0pct_may_be_random'],momentum,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,
morning_star,Financials,medium_volatility,1L/0S,1,0.0,0.0,0.7935,True,0.0,-10.2761,0.0,0.0,-10.2761,0.0,-10.2761,,0.0,-11.225,,,insufficient_sample,300,False,0.0,0.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,,0,False,no_winning_trades_with_mfe,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",2.0,-10.2761,-10.2761,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_0.0pct_may_be_random'],candle,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,
parabolic_sar_flip,Unknown,medium_volatility,1L/0S,1,0.0,0.0,0.7935,True,0.0,-3.5071,0.0,0.0,-3.5071,0.0,-3.5071,,0.0,-2.049,,,insufficient_sample,300,False,0.0,0.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,,0,False,no_winning_trades_with_mfe,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",60.0,-3.5071,-3.5071,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_0.0pct_may_be_random'],trend,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,
prev_day_low_bounce,Consumer Staples,low_volatility,1L/0S,1,0.0,0.0,0.7935,True,0.0,-10.391,0.0,0.0,-10.391,0.0,-10.391,,0.0,-4.099,,,insufficient_sample,150,False,100.0,0.0,0.0,100.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,,0,False,no_winning_trades_with_mfe,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",15.0,-10.391,-10.391,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_0.0pct_may_be_random'],pivot,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,
pivot_s1_bounce,Communication Services,high_volatility,1L/0S,1,1.0,0.2065,1.0,True,inf,4.2814,999.0,4.2814,0.0,0.0,4.2814,,0.0,999.0,,,insufficient_sample,150,False,100.0,100.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,0.7656,1,True,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",99.0,4.2814,4.2814,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_20.6pct_may_be_random']",pivot,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,-70.8686,False
prev_day_low_bounce,Industrials,medium_volatility,1L/0S,1,1.0,0.2065,1.0,True,inf,19.0746,999.0,19.0746,0.0,0.0,19.0746,,0.0,999.0,,,insufficient_sample,150,False,100.0,0.0,0.0,100.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,0.4518,1,False,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",124.0,19.0746,19.0746,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_20.6pct_may_be_random']",pivot,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,-56.0754,False
morning_star,Consumer Discretionary,medium_volatility,1L/0S,1,1.0,0.2065,1.0,True,inf,21.7179,999.0,21.7179,0.0,0.0,21.7179,,0.0,999.0,,,insufficient_sample,300,False,0.0,0.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,0.4265,1,False,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",121.0,21.7179,21.7179,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_20.6pct_may_be_random']",candle,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,-53.4321,False
adx_initiation,Materials,medium_volatility,1L/0S,1,1.0,0.2065,1.0,True,inf,10.7029,999.0,10.7029,0.0,0.0,10.7029,,0.0,999.0,,,insufficient_sample,300,False,0.0,0.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,0.6697,1,True,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",13.0,10.7029,10.7029,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_20.6pct_may_be_random']",trend,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,-64.4471,False
hull_rsi,Consumer Discretionary,medium_volatility,3L/3S,6,0.5,0.1876,0.8124,True,2.3451,4.2348,2.3451,14.7662,-6.2966,-10.2798,25.4089,1.353,6.118,4.419,,,insufficient_sample,300,False,66.67,16.67,16.67,33.33,0.5,0.5,0.0,small_subgroup,,,,insufficient_sample,,,,insufficient_sample,1.353,1.337,1.321,1.289,0.4239,3,False,ok,9.027,"{'full_kelly_pct': 28.68, 'quarter_kelly_pct': 7.17, 'note': 'reasonable'}",11.5,27.7244,-10.2798,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_2.35_exceeds_audit_threshold', 'ci_lower_18.8pct_may_be_random']",momentum,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,-49.7411,False
ultimate_oscillator,Energy,high_volatility,6L/0S,6,0.5,0.1876,0.8124,True,1.8443,3.5673,1.8443,15.5844,-8.4498,-11.1053,21.4036,0.449,5.563,2.916,,,insufficient_sample,300,False,66.67,50.0,16.67,0.0,0.75,0.0,0.75,small_subgroup,,,,insufficient_sample,,,,insufficient_sample,0.449,0.443,0.437,0.424,0.4475,3,False,ok,1.154,"{'full_kelly_pct': 22.89, 'quarter_kelly_pct': 5.72, 'note': 'reasonable'}",70.2,25.9617,-11.1053,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.84_exceeds_audit_threshold', 'ci_lower_18.8pct_may_be_random']",momentum,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,-53.7464,False
pivot_s3_capitulation,Communication Services,high_volatility,2L/0S,2,0.5,0.0945,0.9055,True,0.7583,-0.9927,0.7583,6.2281,-8.2136,-8.2136,-1.9855,-0.254,-2.111,-0.315,,,insufficient_sample,150,False,100.0,50.0,50.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,-0.254,-0.266,-0.279,-0.305,0.6812,1,True,ok,-0.823,"{'full_kelly_pct': -15.94, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",37.0,6.2281,-8.2136,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_9.4pct_may_be_random'],pivot,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,-77.1355,False
bollinger_lower,Information Technology,high_volatility,190L/0S,190,0.4263,0.3581,0.4974,True,1.2853,1.2211,1.7296,12.9035,-7.4603,-83.7018,232.0111,0.183,1.959,0.717,0.1794,0.9992,ok,300,False,47.89,19.47,16.84,11.58,0.4286,0.4242,0.0043,ok,-0.5919,0.8728,False,non_stationary_edge_may_erode,8.6215,0.0003,True,structural_break_detected,0.183,0.175,0.168,0.153,0.6227,81,True,ok,0.064,"{'full_kelly_pct': 9.46, 'quarter_kelly_pct': 2.37, 'note': 'reasonable'}",57.3,84.3619,-21.4025,,0.0244,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_35.8pct_may_be_random'],mean_reversion,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,156.8611,True
williams_r_oversold,Utilities,low_volatility,26L/0S,26,0.3846,0.2243,0.5747,True,1.7145,3.2172,2.7432,20.0713,-7.3167,-31.7147,83.6462,0.288,2.261,2.593,,,insufficient_sample,300,False,57.69,15.38,15.38,26.92,0.3333,0.4545,-0.1212,ok,-0.5138,0.8893,False,non_stationary_edge_may_erode,8.978,0.0014,True,structural_break_detected,0.288,0.283,0.279,0.27,0.6889,10,True,ok,0.682,"{'full_kelly_pct': 16.03, 'quarter_kelly_pct': 4.01, 'note': 'reasonable'}",37.5,139.2882,-10.9982,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.71_exceeds_audit_threshold', 'ci_lower_22.4pct_may_be_random']",momentum,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,8.4962,True
bollinger_tight,Health Care,high_volatility,124L/0S,124,0.3548,0.2761,0.4423,True,0.9426,-0.271,1.7139,12.5465,-7.3206,-81.7897,-33.5981,-0.058,-0.403,-0.183,-0.058,0.2674,low_confidence,300,False,61.29,20.97,25.81,14.52,0.3553,0.3542,0.0011,ok,-2.9731,0.0375,True,ok,55.8592,0.0,True,structural_break_detected,-0.058,-0.069,-0.08,-0.101,0.6077,44,True,ok,-0.021,"{'full_kelly_pct': -2.16, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",40.2,43.4527,-21.6249,,-0.0779,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_27.6pct_may_be_random'],mean_reversion,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,-108.7481,False
pivot_r1_breakout,Unknown,medium_volatility,110L/11S,121,0.3471,0.2682,0.4355,True,1.2959,1.3903,2.4375,17.543,-7.1973,-74.4023,168.2216,0.142,1.396,0.773,0.1253,0.9939,ok,150,False,57.85,15.7,27.27,14.88,0.3143,0.3922,-0.0779,ok,-1.4272,0.5692,False,non_stationary_edge_may_erode,24.3011,0.0,True,structural_break_detected,0.142,0.137,0.132,0.122,0.5814,42,True,ok,0.092,"{'full_kelly_pct': 7.92, 'quarter_kelly_pct': 1.98, 'note': 'reasonable'}",51.4,188.0706,-27.5668,,0.1006,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_26.8pct_may_be_random'],pivot,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,93.0716,True
supertrend_macd,Industrials,medium_volatility,3L/0S,3,0.3333,0.0615,0.7923,True,0.4206,-1.5378,0.8412,3.3487,-3.981,-1.0274,-4.6134,-1.295,-3.544,-1.601,,,insufficient_sample,300,False,33.33,0.0,0.0,33.33,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,-1.295,-1.338,-1.38,-1.464,0.816,1,True,ok,-28.289,"{'full_kelly_pct': -45.92, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",13.3,3.3487,-6.9346,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_6.2pct_may_be_random'],trend,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,-79.7634,False
pivot_r2_continuation,Unknown,medium_volatility,11L/1S,12,0.25,0.0889,0.5323,True,0.5917,-2.213,1.775,12.8259,-7.226,-36.4613,-26.5561,-0.38,-1.973,-1.156,,,insufficient_sample,150,False,41.67,16.67,25.0,0.0,0.0,0.4286,-0.4286,ok,,,,insufficient_sample,,,,insufficient_sample,-0.38,-0.389,-0.397,-0.415,0.5344,3,True,ok,-0.224,"{'full_kelly_pct': -17.25, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",68.2,27.4644,-10.391,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_8.9pct_may_be_random'],pivot,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,75.15,-101.7061,False
